che,week,calendar
jahr,year,calendar
heute,today,calendar
morgen,tomorrow,calendar
gestern,yesterday,calendar
kalender,calendar,misc
sekunde,second,time
stunde,hour,time
minute,minute,time
uhr,o'clock,time
können,can,verb
benutzen,use,verb
machen,do,verb
gehen,go,verb
kommen,come,verb
lachen,laugh,verb
machen,make,verb
sehen,see,verb
weit,far,adjective
klein,small,adjective
gut,good,adjective
schön,beautiful,adjective
hässlich,ugly,adjective
schwierig,difficult,adjective
einfach,easy,adjective
schlecht,bad,adjective
nahe,near,adjective
freut mich sie kennenzulernen,nice to meet you,greeting
hallo,hello,greeting
guten morgen,good morning,greeting
guten tag,good afternoon,greeting
guten abend,good evening,greeting
gute nacht,good night,greeting
wie geht es dir?,how are you,greeting
danke,thank you,hospitalilty
nein,no,adverb
lecker!,delicious!,adjective
ich binn...(name),i am...(name),greeting
auf wiedersehen,goodbye,greeting
ja,yes,adverb
montag,monday,calendar
dienstag,tuesday,calendar
mittwoch,wednesday,calendar
donnerstag,thursday,calendar
freitag,friday,calendar
samstag,saturday,calendar
sonntag,sunday,calendar
mai,may,calendar
januar,january,calendar
